scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG8,2150001,2200000,2175296,2489,1378,10.6,10.0125,0.0285,0.0029,0.0024
LG8,2200001,2250000,2226373,2762,1547,13.4813,17.9688,-0.1427,-0.0231,-0.0178
LG8,2250001,2300000,2273529,2307,1137,52.3687,24.4812,0.3629,0.161,0.1324
LG8,2300001,2350000,2327959,2961,1388,43.8375,31.6125,0.162,0.0811,0.0653
LG8,2350001,2400000,2376756,2153,1134,5.9938,9.9187,-0.2467,-0.0317,-0.0236
LG8,2400001,2450000,2424679,3048,1640,13.455,13.8425,-0.0142,-0.0016,-0.0014
LG8,2450001,2500000,2474240,2633,1395,6.67,8.4075,-0.1152,-0.0105,-0.0085
LG8,2500001,2550000,2527859,3140,1735,16.6525,21.14,-0.1187,-0.0171,-0.0136
LG8,2550001,2600000,2574868,2917,1654,16.79,18.115,-0.038,-0.0055,-0.0047
LG8,2600001,2650000,2623649,2545,1369,8.7587,10.7838,-0.1036,-0.0107,-0.0092
LG8,2650001,2700000,2675637,3040,1616,6.5088,6.5213,-0.001,-0.0001,-0.0
LG8,2700001,2750000,2724911,2556,1369,6.7737,10.6363,-0.2219,-0.0214,-0.0172
LG8,2750001,2800000,2771962,2571,1369,8.5913,10.2538,-0.0882,-0.0083,-0.0071
LG8,2800001,2850000,2822922,2613,1409,6.4887,7.0888,-0.0442,-0.0028,-0.0025
LG8,2850001,2900000,2873653,2532,1175,5.0625,4.25,0.0872,0.0055,0.0049
LG8,2900001,2950000,2926057,2727,1406,8.9775,8.7525,0.0127,0.0009,0.0008
LG8,2950001,3000000,2974460,2869,1444,2.7725,2.3975,0.0725,0.0013,0.0012
LG8,3000001,3050000,3024775,2483,1218,2.0337,3.7837,-0.3008,-0.0083,-0.0078
LG8,3050001,3100000,3073488,2866,1480,4.0613,5.4863,-0.1493,-0.0053,-0.0048
LG8,3100001,3150000,3126545,2810,1428,7.355,7.2925,0.0043,0.0003,0.0002
LG8,3150001,3200000,3175571,2733,1397,2.315,2.94,-0.1189,-0.0026,-0.0024
LG8,3200001,3250000,3224162,3010,1515,7.8712,12.5087,-0.2276,-0.0223,-0.018
LG8,3250001,3300000,3273381,3391,1650,10.4587,7.0587,0.1941,0.0138,0.0121
LG8,3300001,3350000,3325611,2688,1455,11.615,11.1275,0.0214,0.0026,0.0021
LG8,3350001,3400000,3374102,2726,1374,5.98,5.2175,0.0681,0.0038,0.0034
